,,
Bitcoin Energy Consumption,,
DateTime,Estimated TWh per Year,Minimum TWh per Year
2017-02-10 00:00:00,"9,5856594507","3,3310264288"
2017-02-11 00:00:00,"9,5473353682","3,3162273608"
2017-02-12 00:00:00,"9,5787742594","3,1989691439"
2017-02-13 00:00:00,"9,4765061259","3,0451782162"
2017-02-14 00:00:00,"9,5448073164","3,1500624504"
2017-02-15 00:00:00,"9,5690055129","3,3374399026"
2017-02-16 00:00:00,"9,3921701346","3,3303690553"
2017-02-17 00:00:00,"9,3237585051","3,2384480411"
2017-02-18 00:00:00,"9,3269735919","3,1733206449"
2017-02-19 00:00:00,"9,3192393579","3,1892534564"
2017-02-20 00:00:00,"9,2907901658","3,270461299"
2017-02-21 00:00:00,"9,4395852939","3,2077097843"
2017-02-22 00:00:00,"9,5097569652","3,0822067547"
2017-02-23 00:00:00,"9,5071104524","3,1191194105"
2017-02-24 00:00:00,"9,4745546091","3,0305290367"
2017-02-25 00:00:00,"9,6346321225","3,2372399089"
2017-02-26 00:00:00,"9,8269885127","3,3775080007"
2017-02-27 00:00:00,"10,1460764902","3,7835472139"
2017-02-28 00:00:00,"10,1876155181","3,6765005122"
2017-03-01 00:00:00,"10,2335851083","3,6211315286"
2017-03-02 00:00:00,"10,4281107749","3,366434204"
2017-03-03 00:00:00,"10,4217083051","3,3614349597"
2017-03-04 00:00:00,"10,4003413304","3,3338867322"
2017-03-05 00:00:00,"10,4037935851","3,426494697"
2017-03-06 00:00:00,"10,4032792987","3,3454627278"
2017-03-07 00:00:00,"10,4055849796","3,3261694018"
2017-03-08 00:00:00,"10,4254225192","3,2798654194"
2017-03-09 00:00:00,"10,4728032805","3,407201371"
2017-03-10 00:00:00,"10,3719338103","3,4342120274"
2017-03-11 00:00:00,"10,3731992741","3,5383959878"
2017-03-12 00:00:00,"10,3197735086","3,3840493798"
2017-03-13 00:00:00,"10,3008679371","3,5576893138"
2017-03-14 00:00:00,"10,3508854929","3,4419293578"
2017-03-15 00:00:00,"10,4548553798","3,6155692918"
2017-03-16 00:00:00,"10,4575639077","3,3647560538"
2017-03-17 00:00:00,"10,4984953066","3,4380600538"
2017-03-18 00:00:00,"10,4950737515","3,4419547306"
2017-03-19 00:00:00,"10,1341334937","3,7845567061"
2017-03-20 00:00:00,"10,4362316517","3,8044754256"
2017-03-21 00:00:00,"10,7594556767","3,6451256696"
2017-03-22 00:00:00,"10,7977384546","3,4817921696"
2017-03-23 00:00:00,"10,4447634224","3,465857194"
2017-03-24 00:00:00,"10,1755643794","3,465857194"
2017-03-25 00:00:00,"9,5880489236","3,7546084885"
2017-03-26 00:00:00,"9,7260056697","3,6491094135"
2017-03-27 00:00:00,"9,9218319969","3,7048818281"
2017-03-28 00:00:00,"10,4347151466","3,4738246818"
2017-03-29 00:00:00,"10,443764758","3,7128493159"
2017-03-30 00:00:00,"10,4445522597","3,5819535818"
2017-03-31 00:00:00,"10,54137381","3,6151049722"
2017-04-01 00:00:00,"10,7283647969","3,5774476287"
2017-04-02 00:00:00,"10,6691876979","3,6067366736"
2017-04-03 00:00:00,"10,7949431348","3,5774476287"
2017-04-04 00:00:00,"10,8883412103","3,7489977489"
2017-04-05 00:00:00,"10,9200855719","3,8452331822"
2017-04-06 00:00:00,"10,9515344401","3,8703380778"
2017-04-07 00:00:00,"10,9581240274","3,7177023883"
2017-04-08 00:00:00,"10,8529882581","3,765734346"
2017-04-09 00:00:00,"10,9985240733","3,8075758387"
2017-04-10 00:00:00,"11,0028221282","3,8536014807"
2017-04-11 00:00:00,"10,9917086907","3,7615501967"
2017-04-12 00:00:00,"11,0618862393","3,8459678807"
2017-04-13 00:00:00,"11,1884682343","3,7683004509"
2017-04-14 00:00:00,"11,1223779667","3,9732890171"
2017-04-15 00:00:00,"11,0861703101","3,5982035555"
2017-04-16 00:00:00,"11,2012266298","3,5982035555"
2017-04-17 00:00:00,"11,1768359869","3,6374566852"
2017-04-18 00:00:00,"11,1264249329","3,8162764983"
2017-04-19 00:00:00,"11,1198995786","3,73340878"
2017-04-20 00:00:00,"11,0948628905","3,7595775332"
2017-04-21 00:00:00,"11,0978216744","3,6941556503"
2017-04-22 00:00:00,"11,1506575271","3,824999416"
2017-04-23 00:00:00,"11,1201620065","3,8642525457"
2017-04-24 00:00:00,"11,1835434064","4,0125421468"
2017-04-25 00:00:00,"11,2232726732","3,9165900519"
2017-04-26 00:00:00,"11,0294762941","3,7570002491"
2017-04-27 00:00:00,"11,0783932302","3,7767353555"
2017-04-28 00:00:00,"11,1665911864","3,7242806978"
2017-04-29 00:00:00,"11,2551611629","3,8029626843"
2017-04-30 00:00:00,"11,3631044172","3,9209856642"
2017-05-01 00:00:00,"11,4856889501","4,0171525367"
2017-05-02 00:00:00,"11,5731768257","4,1788877313"
2017-05-03 00:00:00,"11,6724322929","4,047751087"
2017-05-04 00:00:00,"11,7342061921","3,9428417716"
2017-05-05 00:00:00,"11,8606944517","3,9166144427"
2017-05-06 00:00:00,"11,8658612567","3,8379324561"
2017-05-07 00:00:00,"12,0406025585","4,0739784159"
2017-05-08 00:00:00,"12,1788476725","4,1657740669"
2017-05-09 00:00:00,"12,4162489738","4,3652165089"
2017-05-10 00:00:00,"12,7603153647","4,0516572935"
2017-05-11 00:00:00,"12,794849418","4,4408790011"
2017-05-12 00:00:00,"12,9649605025","4,3001964562"
2017-05-13 00:00:00,"13,1074826483","4,1032408934"
2017-05-14 00:00:00,"13,1316041524","4,2110975111"
2017-05-15 00:00:00,"13,3053647701","4,3470906379"
2017-05-16 00:00:00,"13,5128407178","4,5768721279"
2017-05-17 00:00:00,"13,5802978225","4,464326092"
2017-05-18 00:00:00,"13,7974337134","4,3095752926"
2017-05-19 00:00:00,"13,6792699865","4,1126197297"
2017-05-20 00:00:00,"13,6000147923","4,1595139113"
2017-05-21 00:00:00,"13,641315877","4,3236435471"
2017-05-22 00:00:00,"13,6860344688","4,3564694742"
2017-05-23 00:00:00,"13,6836959804","4,3173198252"
