Date,Hashrate,Fees(sat),Nb_trans,Nb_trans_block,Price,Fee_per_block,Block_reward,ELectricity(TWh),Cambridge_MAX(TWh),Cambridge_MIN(TWh),Cambridge_GUESS(TWh),Dig_Guess(TWh),Dig_Min(TWh)
2010-01-01,6.9974683206591e-06,0.0,133.0,1.01526717557252,0.0,0.0,50.0,0.0,,,,,
2010-01-04,1.11724284111364e-05,0.0,183.0,1.01104972375691,0.0,0.0,50.0,0.0,,,,,
2010-01-07,9.34955851247729e-06,0.0,154.0,1.0,0.0,0.0,50.0,0.0,,,,,
2010-01-10,1.12312306659318e-05,0.0,190.0,1.0,0.0,0.0,50.0,0.0,,,,,
2010-01-13,1.02502484902837e-05,0.0,166.0,1.01219512195122,0.0,0.0,50.0,0.0,,,,,
2010-01-16,8.69324871960773e-06,0.0,126.0,1.008,0.0,0.0,50.0,0.0,,,,,
2010-01-19,7.72012386293523e-06,0.0,124.0,1.0,0.0,0.0,50.0,0.0,,,,,
2010-01-22,9.73124856672508e-06,0.0,136.0,1.02255639097744,0.0,0.0,50.0,0.0,,,,,
2010-01-25,1.35648225052015e-05,0.0,215.0,1.01895734597156,0.0,0.0,50.0,0.0,,,,,
2010-01-28,1.15601689330042e-05,0.0,179.0,1.01129943502825,0.0,0.0,50.0,0.0,,,,,
2010-01-31,1.37652878624212e-05,0.0,167.0,1.01212121212121,0.0,0.0,50.0,0.0,,,,,
2010-02-03,1.62376939347979e-05,0.0,272.0,1.00740740740741,0.0,0.0,50.0,0.0,,,,,
2010-02-06,1.72674522368241e-05,0.0,206.0,1.07291666666667,0.0,0.0,50.0,0.0,,,,,
2010-02-09,1.88947514005038e-05,0.44,210.0,1.01449275362319,0.0,4.463768115942036e-09,50.0,0.0,,,,,
2010-02-12,1.69058302004508e-05,0.0,188.0,1.02732240437158,0.0,0.0,50.0,0.0,,,,,
2010-02-15,2.32460914215077e-05,0.0,185.0,1.05113636363636,0.0,0.0,50.0,0.0,,,,,
